step,active_vehicles,total_system_wait
3300,118,1915.0
3310,119,2004.0
3320,124,2062.0
3330,126,2060.0
3340,126,2080.0
3350,127,2036.0
3360,129,2080.0
3370,129,2094.0
3380,127,1980.0
3390,127,1890.0
3400,125,1873.0
3410,125,1726.0
3420,128,1734.0
3430,126,1765.0
3440,128,1803.0
3450,129,1748.0
3460,120,1586.0
3470,116,1537.0
3480,119,1563.0
3490,113,1518.0
3500,112,1529.0
3510,111,1528.0
3520,113,1516.0
3530,116,1558.0
3540,120,1587.0
3550,118,1615.0
3560,119,1654.0
3570,119,1691.0
3580,118,1717.0
3590,120,1695.0
